위기
위축
휘청
하락
둔화
압박
내리막길
내우외환
급락
위험
부진
부정
하향
악재
불안
누락
충격
의심
분식회계
우려
약세
하락세
폭락
하회
신저가
감소
감익
하한가
급락세
급랭
악화
낙폭
미끄럼
곤두박질
하한가
↓
