name,company,stock_code,product,market_date,month,ceo,homepage,region,company_eng,code,codename
1차철강제조업,금강공업,14280,"건설가설재,강관,거푸집제조,판매",1988-09-10,12월,"전장열,이범호(각자대표이사)",http://www.kumkangkind.com,부산광역시,금강공업,C,제조업
1차철강제조업,한국주철관공업,970,"수도용주철관,강관제조",1969-12-12,03월,"홍동국,김길출,김태형",http://www.kcip.co.kr,부산광역시,한국주철관공업,C,제조업
1차철강제조업,동부제철,16380,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속제조,도매",1986-02-03,12월,김창수,http://www.dongbusteel.co.kr,서울특별시,동부제철,C,제조업
1차철강제조업,코센,9730,"스테인리스파이프,선박용배관제작",1990-07-27,12월,"이제원,박형채(각자대표이사)",http://www.kossen.co.kr,전라북도,코센,C,제조업
1차철강제조업,삼현철강,17480,"후판,열연후판,산세판박,무늬강판,용단철강,형강외",2001-01-09,12월,조윤선,http://www.samsteel.co.kr,경상남도,삼현철강,C,제조업
1차철강제조업,경남스틸,39240,"냉연강판,아연도강판,산세코일,열연아연도금강판,전기아연도금강판등",2000-03-07,12월,최석우,http://www.ksteel.co.kr,경상남도,경남스틸,C,제조업
1차철강제조업,유에스티,263770,기업인수,2017-04-06,12월,김종식,,경상북도,유에스티,C,제조업
1차철강제조업,하이록코리아,13030,관이음쇠,1989-12-15,12월,"문휴건,문창환각자대표이사",http://www.hy-lok.com,부산광역시,하이록코리아,C,제조업
1차철강제조업,화인베스틸,133820,"조선용형강(부등변부등후앵글,부등호앵글,등변앵글평철등)",2014-07-22,12월,장인화,http://www.finebesteel.com,경상남도,화인베스틸,C,제조업
1차철강제조업,현대제철,4020,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일제조,수출입,중기부품(탱크바퀴)제조,판매",1987-05-23,12월,"우유철,강학서",http://www.hyundai-steel.com,인천광역시,현대제철,C,제조업
1차철강제조업,세아제강,3030,"일반배관용강관,수도배관용강관,구조용강관,SPIRAL강관,유정용강관제조",1969-05-13,12월,"이순형,이휘령,권병기",http://www.seahsteel.co.kr,서울특별시,세아제강,C,제조업
1차철강제조업,휴스틸,5010,"강관(배관용,구조용,유정용)제조,도매",1973-06-29,12월,박훈,http://www.husteel.com,서울특별시,휴스틸,C,제조업
1차철강제조업,태광,23160,"각종배관자재,관이음쇠류제조및판매,발전기부품및판매업,반도체장비제조업및무역도매",1994-09-07,12월,윤성덕,http://www.tkbend.co.kr,부산광역시,태광,C,제조업
1차철강제조업,현대비앤지스틸,4560,"스텐레스냉연강판,특수강제조",1987-03-24,12월,#NAME?,http://www.hyundai-bngsteel.com,경상남도,현대비앤지스틸,C,제조업
1차철강제조업,만호제강,1080,"와이어로프,합성섬유로프,특수강선제조,수출,임대",1977-06-18,06월,김상환,http://www.manhorope.com,부산광역시,만호제강,C,제조업
