stock_code,company_eng,codename
42420,네오위즈홀딩스,금융 및 보험업
78930,GS,금융 및 보험업
3090,대웅,금융 및 보험업
6260,LS,금융 및 보험업
3480,한진중공업홀딩스,금융 및 보험업
36530,S&T홀딩스,금융 및 보험업
94840,슈프리마에이치큐,금융 및 보험업
17810,풀무원,금융 및 보험업
34730,SK,금융 및 보험업
138930,BNK금융지주,금융 및 보험업
590,CS홀딩스,금융 및 보험업
4990,롯데지주,금융 및 보험업
900260,로스웰,금융 및 보험업
58650,세아홀딩스,금융 및 보험업
2790,아모레퍼시픽그룹,금융 및 보험업
16600,큐캐피탈,금융 및 보험업
5990,매일홀딩스,금융 및 보험업
16450,한세예스24홀딩스,금융 및 보험업
900270,헝셩그룹,금융 및 보험업
900300,오가닉티코스메틱,금융 및 보험업
15860,일진홀딩스,금융 및 보험업
16880,웅진,금융 및 보험업
15360,예스코홀딩스,금융 및 보험업
3380,제일홀딩스,금융 및 보험업
4840,DRB동일,금융 및 보험업
139130,DGB금융지주,금융 및 보험업
6200,한국전자홀딩스,금융 및 보험업
1800,오리온홀딩스,금융 및 보험업
25530,에스제이엠홀딩스,금융 및 보험업
72710,농심홀딩스,금융 및 보험업
6120,SK디스커버리,금융 및 보험업
72470,우리산업홀딩스,금융 및 보험업
100250,진양홀딩스,금융 및 보험업
9970,영원무역홀딩스,금융 및 보험업
30530,원익홀딩스,금융 및 보험업
71050,한국금융지주,금융 및 보험업
107590,미원홀딩스,금융 및 보험업
105560,KB금융,금융 및 보험업
86790,하나금융지주,금융 및 보험업
9440,KC그린홀딩스,금융 및 보험업
54620,APS홀딩스,금융 및 보험업
60980,한라홀딩스,금융 및 보험업
5810,풍산홀딩스,금융 및 보험업
900250,크리스탈신소재,금융 및 보험업
900040,차이나그레이트,금융 및 보험업
63080,게임빌,금융 및 보험업
5720,넥센,금융 및 보험업
36710,심텍홀딩스,금융 및 보험업
6840,AK홀딩스,금융 및 보험업
140,하이트진로홀딩스,금융 및 보험업
24660,하림홀딩스,금융 및 보험업
267250,현대중공업지주,금융 및 보험업
36420,제이콘텐트리,금융 및 보험업
320,노루홀딩스,금융 및 보험업
900120,씨케이에이치,금융 및 보험업
42370,비츠로테크,금융 및 보험업
3550,LG,금융 및 보험업
92230,KPX홀딩스,금융 및 보험업
35080,인터파크홀딩스,금융 및 보험업
289080,SV인베스트먼트,금융 및 보험업
77360,덕산하이메탈,금융 및 보험업
900290,GRT,금융 및 보험업
33660,아주캐피탈,금융 및 보험업
6880,신송홀딩스,금융 및 보험업
28080,휴맥스홀딩스,금융 및 보험업
96770,SK이노베이션,금융 및 보험업
241560,두산밥캣,금융 및 보험업
900280,골든센츄리,금융 및 보험업
121440,골프존뉴딘홀딩스,금융 및 보험업
4150,한솔홀딩스,금융 및 보험업
10050,우리종금,금융 및 보험업
84690,대상홀딩스,금융 및 보험업
900090,차이나하오란,금융 및 보험업
900140,엘브이엠씨,금융 및 보험업
5740,크라운해태홀딩스,금융 및 보험업
44820,코스맥스비티아이,금융 및 보험업
101060,SBS미디어홀딩스,금융 및 보험업
55550,신한지주,금융 및 보험업
241590,화승엔터프라이즈,금융 및 보험업
78070,유비쿼스홀딩스,금융 및 보험업
1630,종근당홀딩스,금융 및 보험업
900110,이스트아시아홀딩스,금융 및 보험업
70,삼양홀딩스,금융 및 보험업
96760,JW홀딩스,금융 및 보험업
175330,JB금융지주,금융 및 보험업
7860,서연,금융 및 보험업
84110,휴온스글로벌,금융 및 보험업
138040,메리츠금융지주,금융 및 보험업
21880,메이슨캐피탈,금융 및 보험업
24720,한국콜마홀딩스,금융 및 보험업
900070,글로벌에스엠,금융 및 보험업
640,동아쏘시오홀딩스,금융 및 보험업
1940,KISCO홀딩스,금융 및 보험업
7540,샘표,금융 및 보험업
8930,한미사이언스,금융 및 보험업
60560,홈센타홀딩스,금융 및 보험업
41190,우리기술투자,금융 및 보험업
14470,부방,금융 및 보험업
88390,이녹스,금융 및 보험업
10770,평화홀딩스,금융 및 보험업
180640,한진칼,금융 및 보험업
23760,한국캐피탈,금융 및 보험업
29780,삼성카드,금융 및 보험업
230,일동홀딩스,금융 및 보험업
39020,이건홀딩스,금융 및 보험업
240,한국타이어월드와이드,금융 및 보험업
1040,CJ,금융 및 보험업
225530,보광산업,광업
3580,동원,광업
28040,미래SCI,제조업
38500,삼표시멘트,제조업
7210,벽산,제조업
222420,쎄노텍,제조업
4090,한국석유공업,제조업
75970,동국알앤에스,제조업
1560,제일연마,제조업
64760,티씨케이,제조업
255220,SG,제조업
15540,메디플란트,"사업시설 관리, 사업 지원 및 임대 서비스업"
50540,한국코퍼레이션,"사업시설 관리, 사업 지원 및 임대 서비스업"
94280,효성ITX,"사업시설 관리, 사업 지원 및 임대 서비스업"
32040,C&S자산관리,"사업시설 관리, 사업 지원 및 임대 서비스업"
36120,SCI평가정보,"사업시설 관리, 사업 지원 및 임대 서비스업"
63570,한국전자금융,"사업시설 관리, 사업 지원 및 임대 서비스업"
130580,나이스디앤비,"사업시설 관리, 사업 지원 및 임대 서비스업"
49720,고려신용정보,"사업시설 관리, 사업 지원 및 임대 서비스업"
34950,한국기업평가,"사업시설 관리, 사업 지원 및 임대 서비스업"
60280,큐렉소,도매 및 소매업
8770,호텔신라,도매 및 소매업
130500,GH신소재,제조업
299480,지앤이바이오텍,제조업
83550,케이엠,제조업
222980,한국맥널티,제조업
5610,SPC삼립,제조업
1680,대상,제조업
178600,대동고려삼,제조업
260970,에스앤디,제조업
92040,아미코젠,제조업
4370,농심,제조업
145990,삼양사,제조업
239610,에이치엘사이언스,제조업
7310,오뚜기,제조업
62580,인산가,제조업
101530,해태제과식품,제조업
97950,CJ제일제당,제조업
3230,삼양식품,제조업
9780,엠에스씨,제조업
2600,조흥,제조업
49770,동원F&B,제조업
264900,크라운제과,제조업
284420,휴럼,제조업
248170,샘표식품,제조업
271560,오리온,제조업
11150,CJ씨푸드,제조업
222040,뉴트리바이오텍,제조업
86220,네추럴FNP,제조업
204990,현성바이탈,제조업
280360,롯데제과,제조업
4410,서울식품공업,제조업
79660,사조해표,제조업
52300,W홀딩컴퍼니,운수 및 창고업
5430,한국공항,운수 및 창고업
86280,현대글로비스,운수 및 창고업
9180,한솔로지스틱스,운수 및 창고업
3100,선광,운수 및 창고업
250300,제이에스피브이,제조업
208850,이비테크,제조업
215100,로보로보,제조업
19180,티에이치엔,제조업
45390,대아티아이,제조업
162120,루켄테크놀러지스,제조업
180060,탑선,제조업
16670,포비스티앤씨,도매 및 소매업
18670,SK가스,도매 및 소매업
66430,와이오엠,도매 및 소매업
28260,삼성물산,도매 및 소매업
36620,버추얼텍,도매 및 소매업
10420,한솔피엔에스,도매 및 소매업
93230,이아이디,도매 및 소매업
9810,엔케이물산,도매 및 소매업
5390,신성통상,도매 및 소매업
48910,대원미디어,도매 및 소매업
17940,E1,도매 및 소매업
4270,남성,도매 및 소매업
56730,포스링크,도매 및 소매업
44960,이글벳,도매 및 소매업
106190,하이텍팜,도매 및 소매업
440,중앙에너비스,도매 및 소매업
43090,팜스웰바이오,도매 및 소매업
74430,아미노로직스,도매 및 소매업
38070,서린바이오,도매 및 소매업
39740,한국정보공학,도매 및 소매업
24060,흥구석유,도매 및 소매업
1740,SK네트웍스,도매 및 소매업
91990,셀트리온헬스케어,도매 및 소매업
760,이화산업,도매 및 소매업
37370,EG,도매 및 소매업
65560,녹원씨엔아이,도매 및 소매업
2810,삼영무역,도매 및 소매업
12170,키위미디어그룹,도매 및 소매업
14190,원익큐브,도매 및 소매업
88790,진도,도매 및 소매업
13000,세우글로벌,도매 및 소매업
12700,리드코프,도매 및 소매업
54800,아이디스홀딩스,"전문, 과학 및 기술 서비스업"
92130,이크레더블,정보통신업
207760,미스터블루,정보통신업
111820,지와이커머스,정보통신업
60250,NHN한국사이버결제,정보통신업
39290,인포뱅크,정보통신업
58850,KTcs,정보통신업
66980,브레인콘텐츠,정보통신업
84440,유비온,정보통신업
30190,NICE평가정보,정보통신업
58860,케이티스,정보통신업
214180,민앤지,정보통신업
89230,THEE&M,정보통신업
38160,팍스넷,정보통신업
12690,모나리자,제조업
17650,대림제지,제조업
78130,국일제지,제조업
227610,아우딘퓨쳐스,제조업
2760,보락,제조업
237880,클리오,제조업
49550,잉크테크,제조업
78520,에이블씨엔씨,제조업
161890,한국콜마,제조업
252370,유쎌,제조업
252500,세화피앤씨,제조업
16100,리더스코스메틱,제조업
83420,그린케미칼,제조업
5420,코스모화학,제조업
225860,엠앤씨생명과학,제조업
69110,코스온,제조업
11790,SKC,제조업
101360,이엔드디,제조업
134380,미원화학,제조업
25620,제이준코스메틱,제조업
18250,애경산업,제조업
80530,코디,제조업
240340,인터코스,제조업
102710,이엔에프테크놀로지,제조업
4430,송원산업,제조업
138360,에이씨티,제조업
860,강남제비스코,제조업
8490,서흥,제조업
221980,케이디켐,제조업
192820,코스맥스,제조업
66830,제노텍,제조업
241710,코스메카코리아,제조업
3350,한국화장품제조,제조업
90350,노루페인트,제조업
48410,현대아이비티,제조업
81000,일진다이아,제조업
92070,디엔에프,제조업
390,삼화페인트공업,제조업
220260,켐트로스,제조업
5070,코스모신소재,제조업
137950,제이씨케미칼,제조업
11500,한농화성,제조업
14100,보령메디앙스,제조업
2380,케이씨씨,제조업
17890,한국알콜,제조업
51900,LG생활건강,제조업
226320,잇츠한불,제조업
123330,제닉,제조업
270210,에스알바이오텍,제조업
241770,메카로,제조업
171120,라이온켐텍,제조업
215050,비엔디생활건강,제조업
121600,나노신소재,제조업
284610,TS트릴리온,제조업
233990,하우동천,제조업
89470,HDC현대EP,제조업
92730,네오팜,제조업
221610,한솔씨앤피,제조업
69260,휴켐스,제조업
103660,씨앗,제조업
90430,아모레퍼시픽,제조업
950140,잉글우드랩,제조업
36670,KCI,제조업
89010,켐트로닉스,제조업
880,한화,제조업
52260,SK바이오랜드,제조업
260930,씨티케이코스메틱스,제조업
214420,토니모리,제조업
217480,에스디생명공학,제조업
4910,조광페인트,제조업
86520,에코프로,제조업
241790,오션브릿지,제조업
27050,코리아나,제조업
242420,본느,제조업
2840,미원상사,제조업
42040,케이피엠테크,제조업
36830,솔브레인,제조업
237720,케이엠제약,제조업
159910,스킨앤스킨,제조업
45060,오공,제조업
8250,이건산업,제조업
25900,동화기업,제조업
2820,선창산업,제조업
2270,롯데푸드,제조업
5180,빙그레,제조업
267980,매일유업,제조업
3920,남양유업,제조업
10040,한국내화,제조업
8800,행남사,제조업
5750,대림비앤코,제조업
480,조선내화,제조업
10780,아이에스동서,제조업
47400,유니온머티리얼,제조업
33780,케이티앤지,제조업
1140,국보,운수 및 창고업
32280,삼일,운수 및 창고업
129260,인터지스,운수 및 창고업
120,CJ대한통운,운수 및 창고업
2320,한진,운수 및 창고업
9070,케이씨티시,운수 및 창고업
14130,한익스프레스,운수 및 창고업
4140,동방,운수 및 창고업
4360,세방,운수 및 창고업
27740,마니커,제조업
88910,동우팜투테이블,제조업
66360,체리부로,제조업
73560,우리손에프앤지,제조업
136480,하림,제조업
208140,정다운,제조업
25880,케이씨피드,제조업
5860,한일사료,제조업
218150,미래생명자원,제조업
16790,현대사료,제조업
86060,진바이오텍,제조업
3310,대주산업,제조업
35810,이지바이오,제조업
136490,선진,제조업
27710,팜스토리,제조업
79550,LIG넥스원,제조업
10820,퍼스텍,제조업
57050,현대홈쇼핑,도매 및 소매업
141020,포티스,도매 및 소매업
53280,예스24,도매 및 소매업
69920,아이에스이커머스,도매 및 소매업
108790,인터파크,도매 및 소매업
138250,엔에스쇼핑,도매 및 소매업
54450,텔레칩스,제조업
153490,우리이앤엘,제조업
80220,제주반도체,제조업
32580,피델릭스,제조업
62860,티엘아이,제조업
43590,크로바하이텍,제조업
114570,지스마트글로벌,제조업
93640,다믈멀티미디어,제조업
214310,세미콘라이트,제조업
92590,럭스피아,제조업
11690,유양디앤유,제조업
97800,윈팩,제조업
17900,광전자,제조업
182690,테라셈,제조업
67310,하나마이크론,제조업
103130,웅진에너지,제조업
20760,일진디스플,제조업
4770,써니전자,제조업
61970,엘비세미콘,제조업
200710,에이디테크놀로지,제조업
46890,서울반도체,제조업
102120,어보브반도체,제조업
4870,티웨이홀딩스,제조업
80520,오디텍,제조업
96870,엘디티,제조업
82800,루미마이크로,제조업
52860,아이앤씨,제조업
990,DB하이텍,제조업
59090,미코,제조업
59120,아진엑스텍,제조업
123260,STC,제조업
115610,이미지스,제조업
66310,큐에스아이,제조업
94170,동운아나텍,제조업
33170,시그네틱스,제조업
33640,네패스,제조업
36540,SFA반도체,제조업
64520,바른전자,제조업
11930,신성이엔지,제조업
89530,에이티세미콘,제조업
166090,하나머티리얼즈,제조업
92600,넥스트칩,제조업
108320,실리콘웍스,제조업
660,SK하이닉스,제조업
92220,KEC,제조업
78350,한양디지텍,제조업
36170,씨티젠,제조업
117670,알파홀딩스,제조업
123860,아나패스,제조업
38060,루멘스,제조업
149010,아이케이세미콘,제조업
101400,엔시트론,제조업
96610,알에프세미,제조업
30270,에스마크,제조업
3200,일신방직,제조업
50,경방,제조업
1530,동일방직,제조업
950,전방,제조업
211050,인카금융서비스,금융 및 보험업
5830,DB손해보험,금융 및 보험업
1450,현대해상,금융 및 보험업
540,흥국화재,금융 및 보험업
82640,동양생명,금융 및 보험업
79440,아이엔지생명,금융 및 보험업
88350,한화생명,금융 및 보험업
400,롯데손해보험,금융 및 보험업
370,한화손해보험,금융 및 보험업
60,메리츠화재,금융 및 보험업
32830,삼성생명,금융 및 보험업
85620,미래에셋생명,금융 및 보험업
810,삼성화재해상보험,금융 및 보험업
2070,남영비비안,제조업
33340,좋은사람들,제조업
20000,한섬,제조업
299670,에스엠비나,제조업
14990,인디에프,제조업
84870,티비에이치글로벌,제조업
93050,LF,제조업
111110,호전실업,제조업
17680,데코앤이,제조업
5800,신영와코루,제조업
251540,에스와이제이,제조업
1460,BYC,제조업
105630,한세실업,제조업
102280,쌍방울,제조업
267790,배럴,제조업
9270,신원,제조업
7700,F&F,제조업
65060,지엔코,제조업
93240,형지엘리트,제조업
7980,태평양물산,제조업
8290,원풍물산,제조업
98660,에스티오,제조업
16090,대현,제조업
225590,패션플랫폼,제조업
90370,메타랩스,제조업
11080,형지I&C,제조업
47770,코데즈컴바인,제조업
204210,모두투어리츠,부동산업
1000,신라섬유,부동산업
140910,에이리츠,부동산업
34810,해성산업,부동산업
15020,이스타코,부동산업
